source_id,period_days,transit_depth_ppm,planet_radius_re,stellar_radius_rs,snr,epoch,label_raw,mission,label_coarse,label_binary
K05392.01,0.66062715,248.5,26.13,1.075,7.8,131.8646,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05393.01,248.421771,704.0,18.92,6.428,8.8,230.379,CANDIDATE,KEPLER,CANDIDATE,0
K05394.01,456.5734,397.5,7.88,4.042,7.6,228.3838,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05395.01,551.134255,172.8,1.81,1.388,9.9,226.686,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05396.01,344.06248,136.3,5.26,3.697,17.7,451.4323,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05397.01,39.94344731,,,,,170.5021796,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05398.01,551.134255,570.7,2.1,0.887,17.2,185.7811,CANDIDATE,KEPLER,CANDIDATE,0
K05399.01,466.90824,660.0,2.19,0.867,5.4,136.3731,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05519.01,361.30991,275.6,7.07,4.419,10.6,469.7513,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05520.01,199.4424134,32172.0,56.11,1.17,486.4,240.8521,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05521.01,31.59115876,1434.4,72.91,2.295,83.5,162.501885,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05522.01,356.99135,747.8,2.47,0.913,13.8,235.7367,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05523.01,96.120478,285.4,2.08,1.186,6.0,166.9531,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05524.01,9.63647672,47.6,2.02,3.007,11.1,134.93429,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05525.01,45.680876,350.3,14.5,7.917,5.0,142.3574,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05526.01,43.169798,120.8,1.47,1.292,6.9,159.086,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05897.01,395.94327,1506.0,2.53,0.678,14.5,183.6179,CANDIDATE,KEPLER,CANDIDATE,0
K05898.01,76.37924,276.3,1.73,0.936,5.7,205.0612,CANDIDATE,KEPLER,CANDIDATE,0
K05899.01,58.669218,169.4,1.28,0.986,10.0,168.6211,CANDIDATE,KEPLER,CANDIDATE,0
K05900.01,355.84731,123.9,1.68,1.493,9.8,447.657,CANDIDATE,KEPLER,CANDIDATE,0
K05901.01,61.611129,82.9,1.29,1.386,22.0,133.8909,CANDIDATE,KEPLER,CANDIDATE,0
K05902.01,150.728285,213.5,1.27,0.871,5.6,223.0487,CANDIDATE,KEPLER,CANDIDATE,0
K05903.01,253.790434,604.0,2.06,0.85,6.4,267.5242,CANDIDATE,KEPLER,CANDIDATE,0
K05904.01,322.544807,88.0,0.68,0.741,12.1,267.9262,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05905.01,35.6606167,,,,,151.4719632,CANDIDATE,KEPLER,CANDIDATE,0
K05906.01,22.57494749,1344.1,49.49,1.468,302.6,149.09617,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05907.01,551.134255,863.6,36.77,8.838689999999987,12.8,188.1143,CANDIDATE,KEPLER,CANDIDATE,0
K05908.01,85.5692223,539.2,6.85,1.951,18.2,188.06607,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05909.01,7.07987663,309.8,1.36,0.806,10.0,131.6046,CANDIDATE,KEPLER,CANDIDATE,0
K05910.01,91.240335,206.1,1.75,1.205,5.7,155.7237,CANDIDATE,KEPLER,CANDIDATE,0
K05911.01,357.41382,777.0,3.01,1.076,6.7,311.3642,CANDIDATE,KEPLER,CANDIDATE,0
K05912.01,359.854745,302.4,2.25,1.168,6.1,305.6179,CANDIDATE,KEPLER,CANDIDATE,0
