z_period_days,z_transit_depth_ppm,z_planet_radius_re,z_stellar_radius_rs,z_snr,label_binary,label_coarse,mission
-0.22122127703472075,-0.0730390708073978,-0.2083271107405562,-0.5042829273874693,0.3547992434367985,0,FALSE POSITIVE,KEPLER
-0.29458716348292585,-0.2568782961433624,-0.42266249876085893,-0.585037814216923,-0.08939065837489873,1,CONFIRMED,KEPLER
-0.3276626076172987,-0.24438858237838512,-0.4077726546205089,-0.6065724507047772,-0.1341794643855139,1,CONFIRMED,KEPLER
-0.36164188199542424,-0.27468873998759,-0.45753608108957367,-0.47467280221666974,-0.16951742142141213,0,FALSE POSITIVE,KEPLER
-0.3345926588040982,-0.2660255512758481,-0.41952779473131163,-0.3930206388668888,-0.1440412198373925,1,CONFIRMED,KEPLER
-0.3489523437519949,-0.27538083495278576,-0.4528340250452526,-0.3930206388668888,-0.2091698964675072,1,CONFIRMED,KEPLER
-0.3064595932778009,-0.2782992353985099,-0.4685075451929895,-0.3930206388668888,-0.23957697577746614,1,CONFIRMED,KEPLER
3.5522897527376953,0.21596058402346557,1.1066812296545736,0.2081546297523769,1.773659309075828,0,FALSE POSITIVE,KEPLER
-0.16813429923807682,-0.26550147936578655,-0.4038542745835746,-0.46659731353372436,-0.19807542158414382,1,CONFIRMED,KEPLER
-0.3381891939173254,-0.2639512666547268,-0.4105155206463628,-0.44954905964750635,-0.21060806913757282,1,CONFIRMED,KEPLER
-0.34548694442490024,-0.2676297713974868,-0.4293237448236472,-0.46390548397274256,-0.14157578097442286,1,CONFIRMED,KEPLER
-0.37377411017600215,-0.23840776172539316,-0.3419438700000137,-0.46390548397274256,0.10352993265247576,0,FALSE POSITIVE,KEPLER
5.2296866492652665,0.07922182153566229,0.03461245154936644,-0.3275194528829987,1.051902081941465,0,FALSE POSITIVE,KEPLER
0.23537769712568465,-0.18016777037672604,1.0428116350525454,-0.2306135886876544,-0.09329426990793402,0,FALSE POSITIVE,KEPLER
0.0021280069625935092,-0.26816184440541174,-0.4089481686315891,-0.27996379730565374,-0.19725360862982058,1,CONFIRMED,KEPLER
0.030874936023972906,-0.2383637556871437,-0.3681970162474731,-0.4486517831271791,-0.163353824263988,1,CONFIRMED,KEPLER
-0.32538240277657104,-0.26190698615059377,-0.4156094146943773,-0.4486517831271791,-0.17177740704580097,1,CONFIRMED,KEPLER
